restaurant_name,name,rating,review
Pesta Keboen Restoran,Yakobus Adi,5.0,"This is one of the unique restaurant in Semarang. Located in Veteran Street No. 29 Semarang. The design of this restaurant is so beautiful and with the old vintage furniture, pictures, pottery, clock, statues and etc. This kind of setting bring nostalgia for those seek for Oldies Comfortable restaurant and suitable for Family/Reunion/Office gathering. Menus varies from Appetizers: Light Meals, Soups, Main Course: Rice/Lontong Satay Dishes, Steak, Favourite Dishes: Chicken/Pigeon, Beef/Chicken Bistik, Oxtail (Served with Red Sauce), Fried/Roasted Gurami, Prawn, Crab, Milk Fish, Beef, Vegetables Serving along with Sambal. This restaurant also serve package for 4 people as well and beverages. Good service with helpful staffs... The taste is delicious and the price worth the place and menus...."
Pesta Keboen Restoran,Harry WALUYO,4.0,"The Semarang Keboen Party has a Semarang Tempo Doeloe nuance, including a European-style banquet (rijsttafel) menu. Ample parking space is available and free wifi. For those who use a wheelchair, there are no facilities for people with disabilities."
Pesta Keboen Restoran,Maulvi Nazir,5.0,This place is great.. suit for everyone who want to back to Netherlands's era.. Many spot to get a nice photo. Very good to go with family..
Pesta Keboen Restoran,erwin erwin,4.0,Nice old style resto with traditional food menu of Semarang. Clean and comfy. Has musholla. Outdoor and indoor dining area. Great location near city central.
Pesta Keboen Restoran,Nature Lover,5.0,A homy and comfortable place to have a gathering with family or friends with various food and beverage choices. It's spacious & nicely decorated that make diners feel at home.
Pesta Keboen Restoran,Tina Fitri,5.0,"Nice place to visit again with families and besties!! Delicious foods, a cozy vintage restaurant!VOC is stand for Very Old Coffee restaurant*-* lets grab a coffee there again !!"
Pesta Keboen Restoran,Jawoto Setyono,5.0,Resto with old and historic ambience. The menu reflects its oldies style. Nice and cozy.
Pesta Keboen Restoran,adrian p,4.0,"A charming resto occupying a big old house in Semarang. Decoration is very chick with hint of Dutch colonial age furniture everywhere. I love the old style floor, it's very hard to find it anywhere. They also provides live music with band on semi outdoor seating on backyard. Food quality is so-so compared to its price. Recommended for casual business meeting or family gathering in Semarang area."
Pesta Keboen Restoran,raiha kasep,5.0,"Nice place for family dinner..very spacious & it has vintage feel. Food is quite good, some just so so though. It's also a bit pricey.It's good for date too."
Pesta Keboen Restoran,Kartika Rahmasari,4.0,Great place to spend when you visit Semarang. They served local foods and snacks. The interior looks is very homey. They also have large table for those who wants to have a big dinner party.
Pesta Keboen Restoran,Widi Sagita,5.0,"Memorable special place for me. The vintage decor is interesting, the food menu full with old indische name, but the taste is good. Very recommended.."
Pesta Keboen Restoran,Maria Copeland,4.0,The foods are not bad. I just wish they bring courtesy cassava chips back.
Pesta Keboen Restoran,Dian Angeline,4.0,"this is one of the famous restaurant in Semarang. the ambience is authentic, places is big enough for a small party or events. case is good in an authentic way. the only problem I experienced is the food processing time, which i think quite slow for this restaurant level."
Pesta Keboen Restoran,TheWalkingDoctor,4.0,"A vintage concept restaurant, with speciality in indonesian traditional cuisine. The place itself is very beauty, clean, and neat. Plenty of instagrammable spot available here. The special menu here is the Smoked Chicken, on which a must try. Also available package menus for up to 4 people. Though it's quite expensive, even for Semarang, but yeah... it's kinda worth it."
Pesta Keboen Restoran,Rio Rinaldo,5.0,"This vintage, old school food institution in Semarang is a really great place to dine in for a large group, with an outdoor seating. The fragrant and flavorful smoked chicken is marvellous. I also sampled the fried egg and tofu with peanut sauce (yummy) and chilli rib (spicy good). Some nice touch: welcome drink of beras kencur herbal drink and help yourself crackers. Interior is a bit confusing, a mix of old and new."
Pesta Keboen Restoran,Adji Cynthia,5.0,"Love the food and the ambiance. We ordered Nasi Uduk Batavia, Nasi Goreng Bambu Runcing, and Sop Buntut. Staffs are friendly, and the seating arrangement is cozy. Will definitely go here again 👍"
Pesta Keboen Restoran,Alexandra Josephina,4.0,"Hmmmm, the place, so so, with vitage gardeny vibe, I only order the light bites so couldnt sure about food taste, but well they got cute place to take pic, lol"
Pesta Keboen Restoran,Dee Journey,5.0,"This place offering u a local heritage, with authentic family restaurant ""tempoe doeloe"".. Cozy, friendly staff, good ambience, great food.. Like i always said about good food and place.. ITS A MUST GO!! Bring your family.."
Pesta Keboen Restoran,Anwar Ibrahim,1.0,Food wasn't great and there were roaches under the table. The drinking glasses weren't cleaned properly. Pricey too but the building had nice old decors.
Pesta Keboen Restoran,Anom Harya,5.0,Good place. Good taste. Good services. Good for lunch because they have air conditioner room and also big fan for the smoking room. They also provide wifi connection. Children friendly.
Pesta Keboen Restoran,Muthia,5.0,"When you're there, you'll feel like you're in a historical old placeThe staff is so friendlyThey have a good and tasty food, tho its a bit pricey"
Pesta Keboen Restoran,Vanny Az-zahra,5.0,"Great place, great ambience. Many instagramable spot. Kids friendly. Baby chairs are available. Playground for kids also available. Friendly staff. Good food. Affordable price. Definetely will come back again."
Pesta Keboen Restoran,Feby Handojo,5.0,"They have really good food. They have really nice place. Classic yet sophisticated. If you're a fan of antique or classic stuff, this place definitely for you. Also, they have tables both indoor and outdoor. And personally i will say that this place also good for family meeting."
Pesta Keboen Restoran,HAPPY CHINESE快乐中文,4.0,"Good Indonesian food, the live tradional music is very unique, a comfort restaurant."
Pesta Keboen Restoran,Ervina PW,5.0,"This restaurant feels homey, suitable for family to have a dine together,can accommodate large groups , unique interior and foods are delicious"
Pesta Keboen Restoran,michael william,5.0,"A vintage restaurant with ""Tempoe Doeloe"" decoration arrangement combining....Recommended when visit Semarang"
Pesta Keboen Restoran,Yustica Soetipto,5.0,Beautiful resto with antique private collection of the owner. Deliciois traditional food. Feel frew to taking foto everywhere. Parking: Not many cars so you should get help from the parking staff
Pesta Keboen Restoran,Elvira Lenni,5.0,A very nice place to sit and gather with good food indeed. Iish waiternya juga ramah2. Senang. Sukses yaa kakak2
Pesta Keboen Restoran,Christina Syah,5.0,"Got recommendation about this place from internet. Resto with jadoel style inside. It is shown actually from the house that they choose for the resto. Really old house with Holland building. They renovate it becoming resto and open in 2000. All food and drink menu are in jadoel language. They have artistic of jadoel things inside the resto. All are great! You can walk around to see Semarang tempo doeloe. Welcoming drink you will get beras kencur. Yummy! I ordered kue leker, es pesta keboen and sup ayam jagung. And all are tasty!"
Pesta Keboen Restoran,Vincent Wijaya,5.0,"Nice Restaurant, good view, tasty food with additional small children playground. Very good to eat with family or with group such as company event. Or can be used for selfie or looking for good background for photography. Parking is ok and last but not least is the clean toilet."
Pesta Keboen Restoran,Agustinus Herwian,4.0,"Good food, fast wifi. Good service, clean toilet, at last a great place with old school atmosphere."
Pesta Keboen Restoran,Fariza Rachman,5.0,"The food taste is so so, but the atmosphere: numero uno 👍Food: 4/5 | Service: 5/5 | Atmosphere: 5/5 …More"
Pesta Keboen Restoran,Fauzan Diaz,5.0,Nice and homey atmosphere.. Many option with delicous taste and the price is amazingly affordable..
Pesta Keboen Restoran,wisnu arioko,5.0,Nice ...
Pesta Keboen Restoran,Tiara Adiratna,3.0,Great interior design and concept... but it’s too bad that their food wasn’t really good
Pesta Keboen Restoran,Chelsey Nathania,5.0,"an old place with a lot of old stuff with a little touch of traditional taste...very unique place...good food,good service...love it"
Pesta Keboen Restoran,kano beaute,5.0,"Lovely interior design.Love the western & Indonesian's dishes.MUST TRY the ""ayam asap"""
Pesta Keboen Restoran,Thariq Reswara,4.0,"A vintage-themed restaurant, with a wide selection of Indonesian traditional cuisine. The food is great, but a bit pricey for its taste. Friendly staff."
Pesta Keboen Restoran,Muhammad Alvian,5.0,"Fancy place, amazing serve, delicious food"
Pesta Keboen Restoran,Sofi Reksoyudo,3.0,"Quite busy on lunch hours, most likely to be an old house renovated into a restaurants. Many spots 2 take pics with for instagram, taste of food is quite yummy unfortunetly bathroom is kind of smelly :("
Pesta Keboen Restoran,R Imam Nurhidayat,5.0,"It was a perfect place, ambience was really warm and supported with the old souveneer, food was great and affordable for the growing middle class in Indonesia. Family friendly staff was humble and welcoming, live traditional Siter by the grandpa. Prima! Side note for management is, perhaps it needs to add some more rest room to cath up with the capacity of its guest, especially during lunch and dinner service it would be uncomfortable for queuing"
Pesta Keboen Restoran,Heru Pratama,5.0,Recomended place untuk lunch/ business meeting
Pesta Keboen Restoran,Adam Apriliansyah,5.0,"The places was cozy, good response, serving was faster, the ambiance great for big family, location at center from everywhere"
Pesta Keboen Restoran,Ko Abel,5.0,"The service was good, but need some menu improvements. The salad solo one year ago was better but still delicious"
Pesta Keboen Restoran,Fariono K,4.0,Good place to have lunch or dinner with family (indoor for no smoking and outdoor for smoking)
Pesta Keboen Restoran,Juliana Chen,3.0,Great ambience for vintage. Th food just standard in taste.
Pesta Keboen Restoran,Clara Jesica,5.0,Great decor. authentic javanesse food
Pesta Keboen Restoran,gurumut club,5.0,A little bit difficult to find this restourant because there is no sign. This restourant is very unique and hommy. Foods are delicious too
Pesta Keboen Restoran,Voodoo Doll,5.0,"Nice ambience, impressive details. Various indonesian menu, there's a kids mini playground. Suitable for family and group dining"
Pesta Keboen Restoran,Ardian W Nirmala,5.0,"Good food, good ambience with affordable prices"
Ayam Goreng Lembur Kuring Pusat,Fanny Nirbana,4.0,Yummy fried chickenNear Simpang LimaMany hotels here
Ayam Goreng Lembur Kuring Pusat,ANDRE KALIVA,4.0,"What do you want from a seasoned fried chicken? A melty, natural seasoning tasty, not to dry but weldoned fry, and the yummy taste stay in your tongue even if you drink something after.... And this legend heritage old school waroeng is the right place if you atopping by in Semarang. Easily find location, even you pay a bit expensive it is gonna paid excelently by what yuu got in your tongue and mouth. Highly recommended."
Ayam Goreng Lembur Kuring Pusat,Stanley Adrian,4.0,"Great fried chicken, classic, and great sambal!"
Ayam Goreng Lembur Kuring Pusat,TjahYOno,5.0,Best fried chicken on town and a legendary one as well. Been around for a while and taste remain the same.
Ayam Goreng Lembur Kuring Pusat,David Chandra Saputra,3.0,"Ordinary taste, chicken not broiler"
Ayam Goreng Lembur Kuring Pusat,julianto hartono,4.0,"Delicious, recentnable price, but the place is very hot because no aircond"
Ayam Goreng Lembur Kuring Pusat,Jo Nugroho,2.0,Taste is good but place is awful
Ayam Goreng Lembur Kuring Pusat,Sundoro Son,4.0,Add IP p
Ayam Goreng Lembur Kuring Pusat,Evita Ismira,4.0,Delicious Sundanese fried chicken and other menu
Ayam Goreng Lembur Kuring Pusat,Agus Setiadi,5.0,Good 👍🏻
Ayam Goreng Lembur Kuring Pusat,paul mintarja,4.0,Good taste
Ayam Goreng Lembur Kuring Pusat,john harris nadeak,4.0,An eatery with affordable price in the city of Semarang.
Ayam Goreng Lembur Kuring Pusat,Valentino Rudisca,5.0,Great food ! No more word! ;)
Ayam Goreng Lembur Kuring Pusat,CB Putra,5.0,Good food
Ayam Goreng Lembur Kuring Pusat,Digital Media Abadi,5.0,Good
Ayam Goreng Lembur Kuring Pusat,Nurul Khafiana,5.0,Not bad lah ya
Ayam Goreng Lembur Kuring Pusat,Monita Sari,5.0,my favorit chicken food
Ayam Goreng Lembur Kuring Pusat,Farra Andiana Tunggadewi,5.0,Legend
Ayam Goreng Lembur Kuring Pusat,Hendru Priasukma,5.0,top
Ayam Goreng Lembur Kuring Pusat,Yanky Rimawan,5.0,Good
Ayam Goreng Lembur Kuring Pusat,Putri Anggi,5.0,Nice
Ayam Goreng Lembur Kuring Pusat,Jauhari Firman,3.0,(Translated by Google) Taste is ok but nothing special. Not really worth the price in my opinion. But it's still a good choice if you're looking for non-fast food in this area. At least the cleanliness and safety of our food is guaranteed. (Original) Rasa ok tapi nothing special. Tidak terlalu worth dengan harganya menurut saya. Tapi masih pilihan bagus kalau cari makan non fast food di wilayah ini. Paling tidak kebersihan dan keamanan makan kita terjamin.
Ayam Goreng Lembur Kuring Pusat,feriandi atmaja,4.0,"(Translated by Google) For chicken, the taste is quite good, it's more of a slightly dry type but not too dry. The taste is more of a salty type (for me). Then tempeh and tofu can be served in 2 pieces each. The taste is ok, but I prefer the tempeh. Sayur tamarind is delicious stuffed with long beans, chayote, peanuts, chunks of corn. The sour taste is there but it's not overpowering. The sambal is delicious, in my opinion, the type is sweet. Just because of the type of chili that is fried, the level of spiciness is not too spicy. For those who don't like spicy, it's perfect. For those who like spicy food, it will be exhausting. Iced tea is okay. Okay. As for the actual parking place, if for motorbikes, it's enough, just the place. But for a car, it's a bit cramped and limited. (Original) Untuk ayam rasa cukup enak lebih memang tipe agak ke kering tapi gak sampai terlalu kering. Rasa lebih ke tipe asin (bagiku). Lalu tempe dan tahu dapat masing masing 2 potong seporsinya. Rasa ya lumayan lah tapi lebih suka tempenya. Sayur asem enak dengan isian kacang panjang, labu siam, kacang tanah, potongan jagung. Rasa asemnya dapet tapi gak sampai terlalu overpower. Sambalnya yang enak menurutku tipe ke manis. Cuma karena tipe sambal yang digoreng maka tingkat pedesnya gak terlalu pedas. Untuk yang gak suka pedas pasti cocok banget. Bagi yang suka pedas pasti ngabis ngabisin. Es teh ya lumayan lah. Oke aja. Untuk tmp parkir sebenarnya kalau untuk motor cukup, lmyn tmptnya. Tapi kalau untuk mobil agak sempit dan terbatas. Kid-friendliness: Tempat terbuka dekat pinggir jalan raya harus hati hati bila bawa anak yang suka lari-lari. Gak ada pintu yang menahan anak. Parking: Kurang luas kalau untuk mobil"
Ayam Goreng Lembur Kuring Pusat,Lashira Sudibyo,5.0,"(Translated by Google) The chicken is delicious, according to my taste, the price is reasonable.. (Original) Ayamnya enak, sesuai dengan selera saya, harga wajar.."
Ayam Goreng Lembur Kuring Pusat,Bambang Kunto Wibisono,5.0,"(Translated by Google) The chicken is delicious but the portion is small, but the sauce is really delicious, especially when there is uduk rice, it's really great (Original) Ayam enak tapi porsi keci sedang tapi sambelnya maknyuss banget apalagi ada nasi uduknya juga waooww bnget"
